Shot,Start(s),Duration(s),FastVLM_Time(s),FastVLM_Description,FastVLM_Genre,FastVLM_Mood,FastVLM_Setting,FastVLM_Placeholder,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Time_Diff(s),Speed_Ratio
1,0.00,3.00,23.62,[PLACEHOLDER] A one-sentence description of what you see,Animation,Joyful,Home,Yes,35.18,A completely black image with no visible content or details.,darkness,"mysterious, silent, absent","no setting, no environment",11.56,1.49x
2,3.00,17.10,36.03,"A close-up shot of a black background with the text 'SONY PICTURES ANIMATION' in bold white letters. The text is slightly tilted to the right, and the font is bold and blocky. The background is dark, with no other objects or colors visible. The text is the main focus of the image, and there are no other elements to describe. The mood is joyful, and the setting context is home. The content descript",Animation,Joyful,Home,No,49.95,"A dark, minimalist screen displaying the 'SONY PICTURES ANIMATION' logo in a stylized, three-dimensional font against a black background.",animation,"serious, professional, intense",a digital screen or title card,13.92,1.39x
3,20.10,5.05,28.84,"A cartoon-style image of a pink balloon floating in the air with a brown object on top, surrounded by a green background with pink and white dots. The scene has a joyful and heartwarming mood, and the content descriptors include characters, family, animation, and location hints. The search keywords include family, animation, and the location hints are urban and USA.",Animation,Joyful,Home,No,42.93,"A close-up of a character with brown hair and a pink polka-dotted hat, partially obscured by a large pink blanket, lying on a bed with a green and yellow background.",animated,"peaceful, dreamy, relaxing","bedroom, bed, sleeping",14.09,1.49x
4,25.15,1.25,20.99,"A close-up of a gray and white cat with green eyes, looking directly at the camera, with a neutral expression. The background is a simple gray with a hint of a brown object in the top right corner. The image is in a cartoon style with a focus on the cat's face and upper body. The scene is set in a home environment. The mood is joyful, and the setting is urban. The content descriptors include chara",Animation,Joyful,Home,No,37.74,"A close-up of a grey cat with green eyes and a stern expression, looking directly at the viewer, with a round, metallic object resembling a watch face or a small mirror to the right.",infer from image,"intense, confrontational, determined","The background is a plain, light-colored surface with a subtle texture, suggesting an indoor setting.",16.75,1.80x
5,26.40,6.92,28.06,[PLACEHOLDER] A one-sentence description of what you see,Animation,Joyful,Home,Yes,68.84,"A young girl with a pink polka-dotted bonnet lies in bed, looking up at a grey cat sitting on the bed beside her, with sunlight streaming through a window behind them.",animation,"peaceful, quiet, endearing, cute","a bedroom, a bed, a window, a lamp",40.78,2.45x
6,33.32,0.71,20.17,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""ContentDescriptor"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKeyw",,,,Yes,41.19,"A close-up shot of a grey cat with a pink polka-dotted hat, looking at a window with a drawing of a purple unicorn and a calendar with a heart drawn on it.",infer from image,"reflective, sweet, dreamy, emotional","a bedroom, a window, a wall",21.02,2.04x
7,34.03,1.92,19.42,"A blurry image of a cartoon cat with a purple bow, sitting on a blue couch with a pink pillow and a white wall in the background. The cat has a black nose and is looking to the left. The image has a playful and joyful mood, with a focus on the cat's expression and the cozy setting. The scene is set in a home environment, with a focus on the cat's interaction with its surroundings. The image is lik",Animation,Joyful,Home,No,41.27,"A blurry, fast-moving scene featuring a character with a purple mane and a pink and white outfit, possibly a pony, in a room with a window showing a grid pattern and a heart symbol, while a dark silhouette of a figure is in motion on the right.",animation,"tense, urgent, confusing","a room with a window, a grid-patterned window, a heart symbol on the window",21.85,2.13x
8,35.95,2.59,19.53,A young girl with a pink bonnet and a cat sit on a bed in a room with a window in the background.,Animation,Joyful,Home,No,499.34,"A young girl with a pink polka-dotted bonnet and pink pajamas sits on a bed, reaching out to a grumpy-looking gray cat with white markings on its chest and paws, in a brightly lit bedroom with a window letting in sunlight.",animation,"tense, conflicted, worried, playful","bedroom, child's room, daytime, sunlit",479.81,25.57x
9,38.54,1.13,19.53,A cartoon-style image of a pink dress with white stars on a wooden floor with a pair of gold-colored shoes in the background.,Animation,Joyful,Home,No,36.66,"A pink and white dress with a sparkly pattern hangs on a white hanger against a colorful, geometrically patterned wall with two golden knobs.",infer from image,"calm, dreamy, wistful, innocent","interior, room, wall",17.13,1.88x
10,39.66,0.83,19.45,"A cartoon character is holding a pink dress in a room with a wooden floor and a white wall. The character is wearing a white shirt and pink pants. The room has a picture on the wall and a dresser with a mirror. The mood is joyful and the setting is home. The content descriptor is 'Family' and the location hints are 'Urban' and 'USA'. The search keywords are 'family', 'animation'.",Animation,Joyful,Home,No,38.88,"A cartoon-style animated character with dark skin is shown from the waist up, wearing a white shirt and pink pants, holding a light pink, ruffled fabric in front of them.",infer from image,"calm, gentle, peaceful","a bedroom, a room with a dresser",19.43,2.00x
11,40.50,1.00,19.48,"A vibrant sunset with a golden sun and a red sky, with a wooden floor and a wooden wall in the background, evoking a sense of warmth and comfort.",Animation,Joyful,Home,No,38.75,"A close-up, top-down view of a wooden surface with a red-painted horizontal band, featuring a single, round, golden object resting on it.",infer from image,"calm, reflective, still","an interior space, possibly a room or a table, a wooden surface, possibly a table or a drawer",19.26,1.99x
12,41.50,1.08,19.52,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""ContentDescriptor"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKeyw",,,,Yes,64.55,"A close-up of a person's lower body as they tie the laces of a light blue and white sneaker, with a colorful, abstract paint splatter on the wooden floor beneath their feet.",infer from image,"quiet, reflective, peaceful, intentional","interior, wooden floor, artistic environment",45.03,3.31x
13,42.58,1.58,19.44,"{ ""ShotDescription"": ""A detailed illustration of a cluttered desk with various personal care items such as a purple comb, a purple bottle, a purple tube, a purple jar, a green bottle, a white tube, a black circular object, a white jar with an orange lid, and a yellow brush. The desk is set against a gray wall with a wooden floor. The scene is rendered in a cartoon style with a focus on the objects",,,,No,45.26,"A cluttered wooden table in a bathroom, filled with various hair care products and tools, including tubes, jars, combs, and brushes, with a small cotton swab and a small jar of cream on the left.",infer from image,"messy, organized, busy, personal","bathroom, table",25.82,2.33x
