Shot,Start(s),Duration(s),FastVLM_Time(s),FastVLM_Description,FastVLM_Genre,FastVLM_Mood,FastVLM_Setting,FastVLM_Placeholder,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Time_Diff(s),Speed_Ratio
1,0.00,3.00,22.52,[PLACEHOLDER] A one-sentence description of what you see,Animation,Joyful,Home,Yes,102.39,A completely black image with no visible content or details.,black screen,"dark, silent, absent","no background, no environment, no location",79.87,4.55x
2,3.00,17.10,33.35,"{ ""ShotDescription"": ""A close-up shot of a movie screen displaying the title 'Animation' with a dark background and the text 'Sony Pictures Animation' in the center. The genre is indicated by the 'Animation' genre clue, and the mood is described by the 'Joyful' mood. The setting context is 'Home', and the content descriptors include 'Characters' and 'LocationHints'. The location hints are 'Urban' ",,,,No,188.13,"A dark, minimalist screen displaying the text 'SONY PICTURES ANIMATION' in a bold, sans-serif font, with a subtle gradient and shadow effect.",animation,"mysterious, professional, serious","digital screen, studio environment",154.78,5.64x
3,20.10,5.05,27.08,"A cartoon-style image of a pink balloon floating in the air with a brown object on top, surrounded by a green background with a pink and white pattern. The scene has a joyful and heartwarming mood, and the content descriptors include characters, family, animation, and location hints. The search keywords include family, animation, and the location hints include urban and USA.",Animation,Joyful,Home,No,140.05,"A close-up of a character's head and shoulders, partially obscured by a large, pink, flowing fabric, with a brown head and a pink polka-dotted headband visible.",inferred from visual style,"Dreamy, Calm, Peaceful","An indoor setting with a blurred background of green and yellow, suggesting a room with natural light or a garden.",112.98,5.17x
4,25.15,1.25,20.73,"A close-up of a gray cat with green eyes, looking directly at the camera with a slight frown, set against a gray background. The cat's expression suggests a sense of longing or sadness. The image is likely from an animation, possibly a cartoon, and is set in an urban environment. The scene is set in a family-friendly context and is likely to be found in a children's show or movie. The mood is joyf",Animation,Joyful,Home,No,102.13,"A close-up of a grey animated cat with green eyes, looking intensely at the viewer, with a round, rusted object on the right side of the frame.",animated,"serious, determined, aggressive","A plain, light-colored background with a subtle texture.",81.40,4.93x
5,26.40,6.92,26.85,[PLACEHOLDER] A one-sentence description of what you see,Animation,Joyful,Home,Yes,89.09,"A young girl with a pink polka-dotted bonnet lies in bed, smiling at a grey cat sitting on the bed beside her, with bright sunlight streaming through a window behind them.",inferred from visual style,"happy, peaceful, content","a bedroom, a bed, a window, a lamp",62.25,3.32x
6,33.32,0.71,19.69,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""ContentDescriptor"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKeyw",,,,Yes,41.95,"A close-up of a gray cat with a pink polka-dotted hat, viewed from behind, looking at a window with a drawing of a purple unicorn and a calendar with a heart.",infer from image,"reflective, heartfelt, calm, wistful","a bedroom, a window, a wall with a calendar",22.26,2.13x
7,34.03,1.92,19.91,"A blurry image of a cartoon cat with a purple bow, sitting on a blue couch with a pink pillow and a white wall in the background. The cat has a black nose and is looking to the left. The image has a playful and whimsical feel, with a focus on the cat's expression and the cozy setting. The scene is likely from a family-friendly animated movie or TV show. The mood is joyful, and the setting is homey",Animation,Joyful,Home,No,41.93,"A blurry, fast-moving scene featuring a purple-haired character with a white mane, seen through a window with a red grid pattern and a small red heart on the glass, with a dark silhouette of a figure in motion on the right side.",inferred from visual style,"tense, suspenseful, emotional","an indoor setting with a window, possibly a room or a gallery",22.02,2.11x
8,35.95,2.59,19.89,A young girl with a pink bonnet and a cat sit on a bed in a room with a window in the background.,Animation,Joyful,Home,No,41.41,"A young girl with dark skin and pink hair in a polka-dotted bonnet sits on a bed, reaching out to a grumpy grey cat with a white chest, in a brightly lit room with colorful bedding and a lamp.",infer from image,"calm, gentle, emotional, intimate, endearing, tender","bedroom, room, daytime, sunlit, home",21.51,2.08x
9,38.54,1.13,19.80,A cartoon-style image of a pink dress with white stars on a wooden floor with a wooden table in the background.,Animation,Joyful,Home,No,39.17,"A pink and white dress with sparkles hangs on a white hanger against a colorful, geometrically patterned wall with two golden knobs on the wall.",infer from image,"calm, dreamy, wistful, peaceful","The scene appears to be indoors, possibly in a bedroom or dressing room, with warm, natural light coming from a window on the left.",19.37,1.98x
10,39.66,0.83,20.13,"{ ""ShotDescription"": ""A cartoon character is holding a pink dress in a room with a wooden floor and a white wall. The character is wearing a white shirt and pink pants. The room has a picture on the wall and a dresser with a mirror. The mood is joyful and the setting is home. The content descriptor is 'Family', the genre is 'Animation', and the subgenre is 'Family'. The adjective theme is 'Heartwa",,,,No,39.47,"A cartoon-style illustration of a child with dark skin and brown hair, wearing a white shirt and pink pants, holding up a light pink ruffled garment, likely a dress or a tutu, in a room with a white dresser and a mirror in the background.",cartoon,"calm, sweet, innocent","a bedroom, a room with a dresser",19.35,1.96x
11,40.50,1.00,19.85,"{ ""ShotDescription"": ""A vibrant sunset scene with a golden sun and a red sky, featuring a wooden floor and a wooden wall in the background. The scene is set in a cozy home, with a family enjoying a peaceful evening together. The mood is joyful, and the setting context is a home. The content descriptors include characters, location hints, and search keywords. The genre cues are ""Animation"" and ""Car",,,,No,35.68,"A close-up, top-down view of a wooden surface with a reddish-orange painted top, featuring a single, round, metallic object resembling a small sphere or ball resting in the center.",infer from image,"calm, still, reflective","interior, wooden floor, painting",15.83,1.80x
12,41.50,1.08,19.78,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""ContentDescriptor"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKeyw",,,,Yes,40.49,"A close-up shot of a person with brown skin tying the laces of a light blue and white sneaker on a wooden floor, with a colorful, abstract paint-splatter on the ground.",infer from image,"calm, focused, peaceful","interior, wooden floor, near a wall",20.70,2.05x
13,42.58,1.58,19.99,"A vibrant and colorful scene featuring a variety of household items such as a purple comb, a purple bottle, a purple jar, and a purple tube, all set against a gray background. The items are arranged on a wooden surface, creating a playful and whimsical atmosphere. The scene evokes a sense of joy and warmth, with the bright colors and familiar objects suggesting a family setting. The mood is cheerf",Animation,Joyful,Home,No,45.63,"A still life illustration depicting a cluttered wooden table with various hair care products, combs, and brushes arranged in a messy, vibrant composition.",infer from image,"chaotic, creative, busy, playful, artistic","A wooden table, likely a bathroom or vanity, with a plain wall in the background.",25.65,2.28x
