Shot,Start(s),Duration(s),FastVLM_Time(s),FastVLM_Description,FastVLM_Genre,FastVLM_Mood,FastVLM_Setting,FastVLM_Placeholder,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Time_Diff(s),Speed_Ratio
1,0.00,3.00,23.62,[PLACEHOLDER] A one-sentence description of what you see,Animation,Joyful,Home,Yes,21.32,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,-2.30,0.90x
2,3.00,17.10,36.03,"A close-up shot of a black background with the text 'SONY PICTURES ANIMATION' in bold white letters. The text is slightly tilted to the right, and the font is bold and blocky. The background is dark, with no other objects or colors visible. The text is the main focus of the image, and there are no other elements to describe. The mood is joyful, and the setting context is home. The content descript",Animation,Joyful,Home,No,34.64,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,-1.40,0.96x
3,20.10,5.05,28.84,"A cartoon-style image of a pink balloon floating in the air with a brown object on top, surrounded by a green background with pink and white dots. The scene has a joyful and heartwarming mood, and the content descriptors include characters, family, animation, and location hints. The search keywords include family, animation, and the location hints are urban and USA.",Animation,Joyful,Home,No,26.26,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,-2.58,0.91x
4,25.15,1.25,20.99,"A close-up of a gray and white cat with green eyes, looking directly at the camera, with a neutral expression. The background is a simple gray with a hint of a brown object in the top right corner. The image is in a cartoon style with a focus on the cat's face and upper body. The scene is set in a home environment. The mood is joyful, and the setting is urban. The content descriptors include chara",Animation,Joyful,Home,No,19.64,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,-1.35,0.94x
5,26.40,6.92,28.06,[PLACEHOLDER] A one-sentence description of what you see,Animation,Joyful,Home,Yes,28.16,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,0.10,1.00x
6,33.32,0.71,20.17,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""ContentDescriptor"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKeyw",,,,Yes,22.13,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.96,1.10x
7,34.03,1.92,19.42,"A blurry image of a cartoon cat with a purple bow, sitting on a blue couch with a pink pillow and a white wall in the background. The cat has a black nose and is looking to the left. The image has a playful and joyful mood, with a focus on the cat's expression and the cozy setting. The scene is set in a home environment, with a focus on the cat's interaction with its surroundings. The image is lik",Animation,Joyful,Home,No,23.25,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,3.83,1.20x
8,35.95,2.59,19.53,A young girl with a pink bonnet and a cat sit on a bed in a room with a window in the background.,Animation,Joyful,Home,No,22.61,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,3.08,1.16x
9,38.54,1.13,19.53,A cartoon-style image of a pink dress with white stars on a wooden floor with a pair of gold-colored shoes in the background.,Animation,Joyful,Home,No,22.13,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,2.60,1.13x
10,39.66,0.83,19.45,"A cartoon character is holding a pink dress in a room with a wooden floor and a white wall. The character is wearing a white shirt and pink pants. The room has a picture on the wall and a dresser with a mirror. The mood is joyful and the setting is home. The content descriptor is 'Family' and the location hints are 'Urban' and 'USA'. The search keywords are 'family', 'animation'.",Animation,Joyful,Home,No,22.76,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,3.31,1.17x
11,40.50,1.00,19.48,"A vibrant sunset with a golden sun and a red sky, with a wooden floor and a wooden wall in the background, evoking a sense of warmth and comfort.",Animation,Joyful,Home,No,21.71,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,2.22,1.11x
12,41.50,1.08,19.52,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""ContentDescriptor"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKeyw",,,,Yes,21.74,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,2.22,1.11x
13,42.58,1.58,19.44,"{ ""ShotDescription"": ""A detailed illustration of a cluttered desk with various personal care items such as a purple comb, a purple bottle, a purple tube, a purple jar, a green bottle, a white tube, a black circular object, a white jar with an orange lid, and a yellow brush. The desk is set against a gray wall with a wooden floor. The scene is rendered in a cartoon style with a focus on the objects",,,,No,21.47,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,2.04,1.10x
14,44.17,10.55,34.74,"[PLACEHOLDER] { ""ShotDescription"": ""A one-sentence description of what you see"", ""GenreCues"": [{""genreHint"": ""Animation"", ""prominence_in_shot"": ""Cartoon style""}], ""SubgenreCues"": [""Family""], ""AdjectiveTheme"": [""Heartwarming""], ""Mood"": [""Joyful""], ""SettingContext"": [""Home""], ""Content describers"": [""Characters""], ""LocationHints_regional"": [""Urban""], ""LocationHints_International"": [""USA""], ""SearchKey",,,,Yes,35.37,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,0.64,1.02x
15,54.72,1.46,19.64,"{ ""ShotDescription"": ""A cartoon character is interacting with a computer screen displaying a hair care website, with the website's name 'Hair Love' prominently displayed. The character is holding up a finger as if to point at something on the screen. The scene is set in a home environment, with the character's hair styled in a curly afro. The content descriptors include ""Characters"", ""LocationHint",,,,No,20.93,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.29,1.07x
16,56.18,3.88,19.58,"A screenshot of a YouTube channel page for 'Hair Love', which has 649,810 followers and 1,817,633 plays. The channel features a cartoon style, family-oriented content, and is set in an urban USA. The content descriptors include characters, family, and a tutorial area. The location hints are urban and USA.",Animation,Joyful,Home,No,20.86,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.28,1.07x
17,60.06,1.13,19.60,"A cartoon character with a joyful expression, wearing a blue shirt, is standing in a room with a blue wall and a window in the background. The character has short black hair and is smiling. The scene is set in a home environment. The mood is joyful, and the setting context is family. The content descriptors include characters, location hints, and search keywords. The genre cues include cartoon sty",Animation,Joyful,Home,No,20.73,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.13,1.06x
18,61.18,2.00,19.62,"{ ""ShotDescription"": ""A young girl with curly hair is sitting at a desk with a laptop, while a cat is sitting next to her. The girl is smiling and looking at the camera. The scene has a heartwarming and joyful mood, and the setting is a home. The content descriptors include ""family"", ""animation"", and ""joyful"". The location hints are urban and international, and the search keywords are ""family"" and",,,,No,20.94,"[ERROR: Processing error: probability tensor contains either `inf`, `nan` or element < 0]",,,,1.32,1.07x
