Shot,Start(s),Duration(s),Qwen2_Time(s),Qwen2_Description,Qwen2_Genre,Qwen2_Mood,Qwen2_Setting,Qwen2_ParseError,Qwen3_Time(s),Qwen3_Description,Qwen3_Genre,Qwen3_Mood,Qwen3_Setting,Qwen3_ParseError
1,0.00,3.00,77.22,"```json
{
  ""ShotDescription"": ""The image depicts a person standing in a room with a white wall and a window. The person is wearing a white shirt and is holding a white object in their right hand. The room appears to be well-lit with natural light coming from the window."",
  ""GenreCues"": {
    ""genr",,,,Yes,102.39,A completely black image with no visible content or details.,black screen,"dark, silent, absent","no background, no environment, no location",No
2,3.00,17.10,141.78,"The video frame displays the logo of Sony Pictures Animation, a division of Sony Pictures Entertainment, on a dark background.",Animation,Dark and Minimalist,Sony Pictures Animation logo on a dark background,No,188.13,"A dark, minimalist screen displaying the text 'SONY PICTURES ANIMATION' in a bold, sans-serif font, with a subtle gradient and shadow effect.",animation,"mysterious, professional, serious","digital screen, studio environment",No
3,20.10,5.05,96.19,"The image depicts a close-up of a pink blanket or sheet, with a green and yellow background. The blanket appears soft and comfortable, suggesting a cozy or relaxing setting.",,calm,home,No,140.05,"A close-up of a character's head and shoulders, partially obscured by a large, pink, flowing fabric, with a brown head and a pink polka-dotted headband visible.",inferred from visual style,"Dreamy, Calm, Peaceful","An indoor setting with a blurred background of green and yellow, suggesting a room with natural light or a garden.",No
4,25.15,1.25,69.41,"```json
{
  ""ShotDescription"": ""The image features an animated cat with large, green eyes and a determined expression, looking directly at the camera. The background is a simple, light-colored surface with a circular object to the right."",
  ""GenreCues"": {
    ""genre_hint"": ""cartoon"",
    ""prominenc",,,,Yes,102.13,"A close-up of a grey animated cat with green eyes, looking intensely at the viewer, with a round, rusted object on the right side of the frame.",animated,"serious, determined, aggressive","A plain, light-colored background with a subtle texture.",No
5,26.40,6.92,98.66,"```json
{
  ""ShotDescription"": ""An animated scene featuring a young girl in a pink bed with a pink blanket, speaking to a cat that is sitting on the bed. The room has a cozy, colorful atmosphere with a window and a lamp in the background."",
  ""GenreCues"": {
    ""genre_hint"": ""Animation"",
    ""promin",,,,Yes,89.09,"A young girl with a pink polka-dotted bonnet lies in bed, smiling at a grey cat sitting on the bed beside her, with bright sunlight streaming through a window behind them.",inferred from visual style,"happy, peaceful, content","a bedroom, a bed, a window, a lamp",No
6,33.32,0.71,,N/A (not processed),,,,N/A,41.95,"A close-up of a gray cat with a pink polka-dotted hat, viewed from behind, looking at a window with a drawing of a purple unicorn and a calendar with a heart.",infer from image,"reflective, heartfelt, calm, wistful","a bedroom, a window, a wall with a calendar",No
7,34.03,1.92,,N/A (not processed),,,,N/A,41.93,"A blurry, fast-moving scene featuring a purple-haired character with a white mane, seen through a window with a red grid pattern and a small red heart on the glass, with a dark silhouette of a figure in motion on the right side.",inferred from visual style,"tense, suspenseful, emotional","an indoor setting with a window, possibly a room or a gallery",No
8,35.95,2.59,,N/A (not processed),,,,N/A,41.41,"A young girl with dark skin and pink hair in a polka-dotted bonnet sits on a bed, reaching out to a grumpy grey cat with a white chest, in a brightly lit room with colorful bedding and a lamp.",infer from image,"calm, gentle, emotional, intimate, endearing, tender","bedroom, room, daytime, sunlit, home",No
9,38.54,1.13,,N/A (not processed),,,,N/A,39.17,"A pink and white dress with sparkles hangs on a white hanger against a colorful, geometrically patterned wall with two golden knobs on the wall.",infer from image,"calm, dreamy, wistful, peaceful","The scene appears to be indoors, possibly in a bedroom or dressing room, with warm, natural light coming from a window on the left.",No
10,39.66,0.83,,N/A (not processed),,,,N/A,39.47,"A cartoon-style illustration of a child with dark skin and brown hair, wearing a white shirt and pink pants, holding up a light pink ruffled garment, likely a dress or a tutu, in a room with a white dresser and a mirror in the background.",cartoon,"calm, sweet, innocent","a bedroom, a room with a dresser",No
11,40.50,1.00,,N/A (not processed),,,,N/A,35.68,"A close-up, top-down view of a wooden surface with a reddish-orange painted top, featuring a single, round, metallic object resembling a small sphere or ball resting in the center.",infer from image,"calm, still, reflective","interior, wooden floor, painting",No
12,41.50,1.08,,N/A (not processed),,,,N/A,40.49,"A close-up shot of a person with brown skin tying the laces of a light blue and white sneaker on a wooden floor, with a colorful, abstract paint-splatter on the ground.",infer from image,"calm, focused, peaceful","interior, wooden floor, near a wall",No
13,42.58,1.58,,N/A (not processed),,,,N/A,45.63,"A still life illustration depicting a cluttered wooden table with various hair care products, combs, and brushes arranged in a messy, vibrant composition.",infer from image,"chaotic, creative, busy, playful, artistic","A wooden table, likely a bathroom or vanity, with a plain wall in the background.",No
14,44.17,10.55,,N/A (not processed),,,,N/A,54.80,"A low-angle view of a bathroom with a white bathtub, green tiled walls, a framed abstract painting, and a pink polka-dotted object in the corner, all under soft, diffused light.",infer from image,"peaceful, reflective, quiet","a bathroom, a room with tiled walls, a bathtub",No
15,54.72,1.46,,N/A (not processed),,,,N/A,39.93,"A person with dark, curly hair is looking at a laptop screen displaying a YouTube channel named 'Hair Love', which has 649,810 followers.",animation,"intense, concentrated, introspective","an indoor setting, likely a room or office, with a simple, modern background",No

=== SUMMARY STATISTICS ===

Metric,,,Qwen2,,,,,Qwen3
Total Shots Processed,,,5,,,,,15
Total Processing Time,,,483.3s,,,,,1042.3s
Average Time per Shot,,,96.7s,,,,,69.5s
Parse Errors,,,3/5 (60.0%),,,,,0/15 (0.0%)
Unique Descriptions,,,5/5 (100.0%),,,,,15/15 (100.0%)
